日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-09-15,0.73,0.88,0.88,0.73,310434,1182485881.07,27.78,62.96,0.34,88.59
2010-09-16,0.88,0.89,0.96,0.86,171252,699813174.85,11.36,1.14,0.01,48.87
2010-09-17,0.91,0.84,0.93,0.81,118027,467264616.01,13.48,-5.62,-0.05,33.68
2010-09-20,0.83,0.81,0.9,0.8,85968,338151063.0,11.9,-3.57,-0.03,24.53
2010-09-21,0.76,0.73,0.78,0.69,92314,322270122.8,11.11,-9.88,-0.08,26.35
2010-09-27,0.73,0.76,0.77,0.72,57086,203904083.09,6.85,4.11,0.03,16.29
2010-09-28,0.75,0.72,0.77,0.72,46927,166701999.86,6.58,-5.26,-0.04,13.39
2010-09-29,0.7,0.77,0.78,0.69,51724,183316539.57,12.5,6.94,0.05,14.76
2010-09-30,0.75,0.81,0.85,0.74,51894,194295030.68,14.29,5.19,0.04,14.81
2010-10-08,0.81,0.82,0.86,0.79,49222,188668958.72,8.64,1.23,0.01,14.05
2010-10-11,0.81,0.76,0.82,0.74,56202,206872932.29,9.76,-7.32,-0.06,16.04
2010-10-12,0.74,0.72,0.77,0.72,52449,184311419.82,6.58,-5.26,-0.04,14.97
2010-10-13,0.72,0.73,0.74,0.71,30897,107798468.05,4.17,1.39,0.01,8.82
2010-10-14,0.76,0.79,0.82,0.74,107913,399084231.06,10.96,8.22,0.06,30.8
2010-10-15,0.76,0.73,0.77,0.73,58982,209804391.32,5.06,-7.59,-0.06,16.83
2010-10-18,0.72,0.69,0.72,0.64,39291,132182559.25,10.96,-5.48,-0.04,11.21
2010-10-19,0.67,0.75,0.77,0.67,41807,148045253.75,14.49,8.7,0.06,11.93
2010-10-20,0.73,0.77,0.79,0.72,40846,148729418.88,9.33,2.67,0.02,11.66
2010-10-21,0.78,0.76,0.79,0.75,23863,85871506.21,5.19,-1.3,-0.01,6.81
2010-10-22,0.75,0.75,0.78,0.75,21766,78710283.66,3.95,-1.32,-0.01,6.21
2010-10-25,0.77,0.8,0.81,0.77,39194,146259292.82,5.33,6.67,0.05,11.19
2010-10-26,0.8,0.77,0.8,0.76,36333,132939436.59,5.0,-3.75,-0.03,10.37
2010-10-27,0.77,0.79,0.82,0.76,44790,166815619.67,7.79,2.6,0.02,12.78
2010-10-28,0.78,0.9,0.9,0.78,86319,339443023.04,15.19,13.92,0.11,24.63
2010-10-29,0.94,0.99,1.02,0.91,73049,313697499.21,12.22,10.0,0.09,20.85
2010-11-01,0.97,1.0,1.08,0.97,66537,296087499.78,11.11,1.01,0.01,18.99
2010-11-02,1.01,0.96,1.03,0.95,41745,181979387.3,8.0,-4.0,-0.04,11.91
2010-11-03,0.94,0.96,0.97,0.93,26092,110159521.53,4.17,0.0,0.0,7.45
