date,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2017-05-25,12.24,14.76,14.76,12.24,65,176214.0,24.85,45.56,4.62,0.03
2017-05-26,16.27,16.27,16.27,16.27,41,124148.0,0.0,10.23,1.51,0.02
2017-05-31,17.94,17.94,17.94,17.94,47,156557.0,0.0,10.26,1.67,0.02
2017-06-01,19.77,19.77,19.77,19.77,53,194192.0,0.0,10.2,1.83,0.03
2017-06-02,21.78,21.78,21.78,21.78,437,1761110.0,0.0,10.17,2.01,0.22
2017-06-05,23.99,23.99,23.99,23.99,522,2314026.0,0.0,10.15,2.21,0.26
2017-06-06,26.43,26.43,26.43,26.43,1468,7157968.0,0.0,10.17,2.44,0.73
2017-06-07,29.11,29.11,29.11,29.11,6051,32456437.0,0.0,10.14,2.68,3.03
2017-06-12,28.76,28.48,30.56,27.44,96940,522263296.0,10.72,-2.16,-0.63,48.47
2017-06-13,26.56,27.38,27.98,26.02,73363,363787376.0,6.88,-3.86,-1.1,36.68
2017-06-14,26.56,25.54,26.77,25.24,61592,293736080.0,5.59,-6.72,-1.84,30.8
2017-06-15,25.41,25.76,26.49,25.4,40457,194644576.0,4.27,0.86,0.22,20.23
2017-06-16,25.94,27.18,28.38,25.65,69015,348524688.0,10.6,5.51,1.42,34.51
2017-06-19,27.77,28.54,29.91,27.48,65385,345847360.0,8.94,5.0,1.36,32.69
2017-06-20,28.05,28.37,29.61,28.01,57753,305793648.0,5.61,-0.6,-0.17,28.88
2017-06-21,28.22,31.13,31.17,27.71,69143,381540448.0,12.2,9.73,2.76,34.57
2017-06-22,30.68,29.97,31.09,29.58,45726,256381414.0,4.85,-3.73,-1.16,22.86
2017-06-23,30.24,31.34,32.76,29.87,60271,350381088.0,9.64,4.57,1.37,30.14
2017-06-26,31.56,33.34,33.98,30.39,49736,293163952.0,11.46,6.38,2.0,24.87
2017-06-27,33.37,33.26,34.51,32.94,35209,217749194.0,4.71,-0.24,-0.08,17.6
2017-06-28,33.09,33.77,34.79,32.79,34789,217736956.0,6.01,1.53,0.51,17.39
2017-06-29,33.9,34.25,34.3,33.37,26845,166685177.0,2.75,1.42,0.48,13.42
2017-06-30,33.93,33.26,37.0,32.93,56613,360358048.0,11.88,-2.89,-0.99,28.34
2017-07-03,33.21,33.6,34.68,32.71,40249,250050408.0,5.92,1.02,0.34,20.15
2017-07-04,33.49,34.15,34.52,33.49,26546,165671480.0,3.07,1.64,0.55,13.29
2017-07-05,34.24,36.45,36.45,34.03,38295,248761450.0,7.09,6.73,2.3,19.17
2017-07-06,36.05,38.64,39.2,35.79,40464,279099504.0,9.36,6.01,2.19,20.26
2017-07-07,38.23,38.09,38.92,37.27,29149,203710734.0,4.27,-1.42,-0.55,14.59
2017-07-10,37.01,35.11,37.58,35.08,33061,219380222.0,6.56,-7.82,-2.98,16.55
2017-07-11,35.33,35.13,36.17,34.89,15811,102946142.0,3.65,0.06,0.02,7.92
2017-07-12,35.13,34.24,35.3,33.42,34268,215119828.0,5.35,-2.53,-0.89,17.16
2017-07-13,33.93,33.5,34.47,32.72,18692,115598034.0,5.11,-2.16,-0.74,9.36
2017-07-14,33.26,32.24,33.92,31.99,23882,144462462.0,5.76,-3.76,-1.26,11.96
2017-07-17,31.01,29.66,31.49,29.11,24605,137773521.0,7.38,-8.0,-2.58,12.32
2017-07-18,29.35,30.11,30.79,29.3,18925,105109114.0,5.02,1.52,0.45,9.47
2017-07-19,29.79,30.24,30.51,28.65,18882,102690653.0,6.18,0.43,0.13,9.45
2017-07-20,30.13,30.73,32.27,29.87,21753,125171506.0,7.94,1.62,0.49,10.89
2017-07-21,30.4,29.6,30.87,29.52,13174,72726192.0,4.39,-3.68,-1.13,6.6
2017-07-24,29.31,31.09,31.3,28.51,17142,94774356.0,9.43,5.03,1.49,8.58
2017-07-25,30.93,32.22,32.74,30.74,20094,118561651.0,6.43,3.63,1.13,10.06
2017-07-26,31.89,31.94,32.6,31.17,13510,79181170.0,4.44,-0.87,-0.28,6.76
2017-07-27,31.8,33.67,34.24,31.51,22265,135897752.0,8.55,5.42,1.73,11.15
2017-07-28,33.43,32.82,34.25,32.77,15053,92282456.0,4.4,-2.52,-0.85,7.54
2017-07-31,32.63,32.28,32.82,31.83,9476,56262359.0,3.02,-1.65,-0.54,4.74
2017-08-01,32.05,33.04,33.14,31.63,12527,74626560.0,4.68,2.35,0.76,6.27
2017-08-02,32.61,32.23,32.87,32.01,8081,48230862.0,2.6,-2.45,-0.81,4.05
2017-08-03,32.19,32.0,33.2,31.84,8928,53278233.0,4.22,-0.71,-0.23,4.47
2017-08-04,31.67,31.23,32.05,30.57,9260,53228254.0,4.63,-2.41,-0.77,4.64
2017-08-07,30.95,31.09,31.78,30.95,4729,27256027.0,2.66,-0.45,-0.14,2.37
2017-08-08,31.1,30.43,31.21,30.29,8582,48274525.0,2.96,-2.12,-0.66,4.3
2017-08-09,30.57,30.73,30.87,30.2,5028,28334875.0,2.2,0.99,0.3,2.52
