日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2009-10-30,0.82,0.91,1.48,0.65,239751,1261342432.0,360.87,295.65,0.68,89.46
2009-11-02,0.76,0.81,0.96,0.76,100957,490859751.0,21.98,-10.99,-0.1,37.67
2009-11-03,0.84,0.87,0.94,0.79,70449,357168667.0,18.52,7.41,0.06,26.29
2009-11-04,0.86,0.9,0.93,0.85,46521,239265826.0,9.2,3.45,0.03,17.36
2009-11-05,0.9,0.93,0.98,0.87,52984,279305952.0,12.22,3.33,0.03,19.77
2009-11-06,0.91,0.86,0.94,0.84,41751,212060316.0,10.75,-7.53,-0.07,15.58
2009-11-09,0.85,0.81,0.87,0.8,31457,153864964.0,8.14,-5.81,-0.05,11.74
2009-11-10,0.81,0.76,0.82,0.76,31498,149501574.0,7.41,-6.17,-0.05,11.75
2009-11-11,0.75,0.76,0.77,0.72,26028,120013615.0,6.58,0.0,0.0,9.71
2009-11-12,0.76,0.81,0.81,0.75,26731,127729700.0,7.89,6.58,0.05,9.97
2009-11-13,0.81,0.86,0.91,0.8,42101,211479410.0,13.58,6.17,0.05,15.71
2009-11-16,0.86,0.85,0.86,0.82,29962,147875205.0,4.65,-1.16,-0.01,11.18
2009-11-17,0.84,0.83,0.87,0.83,19294,95957208.0,4.71,-2.35,-0.02,7.2
2009-11-18,0.84,0.87,0.88,0.83,30662,154107303.0,6.02,4.82,0.04,11.44
2009-11-19,0.87,0.94,1.01,0.86,58422,310059576.0,17.24,8.05,0.07,21.8
2009-11-20,0.93,0.93,0.97,0.91,28458,150254995.0,6.38,-1.06,-0.01,10.62
2009-11-23,0.93,0.96,0.97,0.92,25119,133892196.0,5.38,3.23,0.03,9.37
2009-11-24,0.98,0.89,0.99,0.83,40575,210363719.0,16.67,-7.29,-0.07,15.14
2009-11-25,0.88,0.96,0.97,0.86,35642,186618204.0,12.36,7.87,0.07,13.3
2009-11-26,0.95,0.99,0.99,0.91,41785,223277460.0,8.33,3.13,0.03,15.59
2009-11-27,1.02,1.05,1.13,1.02,59930,345975389.0,11.11,6.06,0.06,22.36
2009-11-30,1.05,1.03,1.05,0.97,31681,175732491.0,7.62,-1.9,-0.02,11.82
2009-12-01,1.02,1.01,1.03,0.98,25440,140858281.0,4.85,-1.94,-0.02,9.49
2009-12-02,1.02,1.06,1.1,1.02,39491,226765442.0,7.92,4.95,0.05,14.74
2009-12-03,1.06,1.13,1.13,1.04,39066,229191922.0,8.49,6.6,0.07,14.58
2009-12-04,1.07,0.97,1.09,0.96,42028,233772593.0,11.5,-14.16,-0.16,15.68
2009-12-07,0.97,1.0,1.02,0.96,15449,84959698.0,6.19,3.09,0.03,5.76
2009-12-08,1.0,1.02,1.05,0.98,18843,104777366.0,7.0,2.0,0.02,7.03
2009-12-09,1.01,1.03,1.08,1.0,25564,145079114.0,7.84,0.98,0.01,9.54
2009-12-10,1.02,0.98,1.05,0.98,20409,112467860.0,6.8,-4.85,-0.05,7.62
2009-12-11,0.99,0.92,0.99,0.89,23960,127165821.0,10.2,-6.12,-0.06,8.94
2009-12-14,0.93,0.91,0.93,0.86,15531,79753774.0,7.61,-1.09,-0.01,5.8
2009-12-15,0.92,0.92,0.95,0.91,11645,61132136.0,4.4,1.1,0.01,4.35
2009-12-16,0.91,0.88,0.91,0.87,15755,80667059.0,4.35,-4.35,-0.04,5.88
2009-12-17,0.88,0.81,0.89,0.8,14866,73190763.0,10.23,-7.95,-0.07,5.55
2009-12-18,0.8,0.83,0.85,0.76,19476,93755838.0,11.11,2.47,0.02,7.27
2009-12-21,0.81,0.83,0.84,0.81,9170,44866315.0,3.61,0.0,0.0,3.42
2009-12-22,0.84,0.76,0.84,0.76,10343,49192193.0,9.64,-8.43,-0.07,3.86
2009-12-23,0.76,0.79,0.8,0.76,9177,43666136.0,5.26,3.95,0.03,3.42
2009-12-24,0.77,0.82,0.82,0.76,11869,56850722.0,7.59,3.8,0.03,4.43
2009-12-25,0.81,0.77,0.81,0.77,10603,50160657.0,4.88,-6.1,-0.05,3.96
2009-12-28,0.78,0.79,0.8,0.77,7555,36036511.0,3.9,2.6,0.02,2.82
2009-12-29,0.79,0.77,0.8,0.75,8562,40462029.0,6.33,-2.53,-0.02,3.19
2009-12-30,0.77,0.8,0.83,0.77,11521,55464186.0,7.79,3.9,0.03,4.3
2009-12-31,0.81,0.82,0.83,0.79,8787,42649368.0,5.0,2.5,0.02,3.28
2010-01-04,0.83,0.82,0.83,0.81,7403,36138617.0,2.44,0.0,0.0,2.76
2010-01-05,0.82,0.88,0.9,0.81,18502,92461796.0,10.98,7.32,0.06,6.9
2010-01-06,0.88,0.85,0.88,0.85,9711,48709591.0,3.41,-3.41,-0.03,3.62
2010-01-07,0.85,0.81,0.85,0.81,9290,45556820.0,4.71,-4.71,-0.04,3.47
2010-01-08,0.8,0.78,0.81,0.76,11368,53706945.0,6.17,-3.7,-0.03,4.24
2010-01-11,0.77,0.78,0.8,0.76,9216,43671673.0,5.13,0.0,0.0,3.44
2010-01-12,0.78,0.81,0.81,0.77,7974,38373690.0,5.13,3.85,0.03,2.98
2010-01-13,0.79,0.84,0.86,0.77,13970,68894280.0,11.11,3.7,0.03,5.21
2010-01-14,0.85,0.9,0.93,0.84,19509,100448782.0,10.71,7.14,0.06,7.28
2010-01-15,0.9,0.88,0.92,0.87,9192,46966088.0,5.56,-2.22,-0.02,3.43
