code,id,name,最新价,涨跌幅,涨跌额,volume,成交额,振幅,high,low,今开,昨收,量比,换手率,市盈率-动态,市净率
301026,1,N浩通,97.45,440.49,79.42,198215,1962321264.0,167.0,120.0,89.89,113.0,18.03,-,81.98,38.88,10.0
688501,2,N青达,24.83,134.91,14.26,155371,410308464.0,61.21,30.8,24.33,27.58,10.57,-,72.22,1506.83,3.37
300672,3,国科微,144.19,20.0,24.03,117641,1613579440.0,20.88,144.19,119.1,119.77,120.16,1.71,6.8,5522.21,20.61
688595,4,芯海科技,90.32,19.99,15.05,53936,468272464.0,19.99,90.32,75.27,75.27,75.27,3.24,25.38,-772.41,10.57
300376,5,易事特,9.44,19.95,1.57,1561808,1410340880.0,14.74,9.44,8.28,8.28,7.87,2.71,6.77,71.58,3.77
300325,6,*ST德威,3.08,17.11,0.45,967940,276893728.0,18.63,3.11,2.62,2.62,2.63,1.43,9.71,-16.35,-567.76
300101,7,振芯科技,23.72,16.45,3.35,588599,1342035040.0,21.11,24.38,20.08,20.49,20.37,2.18,10.63,87.76,12.58
300045,8,华力创通,12.56,16.3,1.76,1120388,1357796096.0,19.63,12.96,10.84,10.84,10.8,3.67,26.14,150.5,4.39
688590,9,新致软件,23.88,13.5,2.84,151881,369055792.0,13.59,25.25,22.39,22.4,21.04,1.69,39.27,98.85,4.17
300281,10,金明精机,6.41,13.45,0.76,469932,293322464.0,20.35,6.78,5.63,5.64,5.65,6.08,11.83,46.54,2.11
688081,11,兴图新科,32.3,13.29,3.79,34561,109466713.0,19.89,33.99,28.32,28.7,28.51,3.1,11.2,-30.5,3.35
300141,12,和顺电气,11.96,12.3,1.31,417330,508019296.0,18.12,12.78,10.85,10.94,10.65,3.03,25.2,455.6,4.54
301031,13,C中熔,143.86,12.29,15.75,95387,1295584304.0,27.29,156.0,121.04,125.93,128.11,0.81,57.57,132.97,14.43
300007,14,汉威科技,20.8,11.89,2.21,363216,743884032.0,13.66,21.44,18.9,18.9,18.59,2.1,14.85,36.01,3.81
688308,15,欧科亿,83.19,11.59,8.64,15726,127139261.0,13.12,84.78,75.0,77.53,74.55,1.28,6.62,45.09,6.14
688288,16,鸿泉物联,51.17,11.09,5.11,23769,117617630.0,13.66,51.8,45.51,46.08,46.06,1.66,4.6,61.31,5.47
300582,17,英飞特,30.12,10.33,2.82,311590,933779824.0,19.56,32.0,26.66,27.37,27.3,1.59,16.51,60.14,7.04
002454,18,松芝股份,6.0,10.09,0.55,177136,104863637.0,8.81,6.0,5.52,5.56,5.45,2.6,2.83,31.83,1.03
002598,19,山东章鼓,8.11,10.04,0.74,149573,118158808.0,11.4,8.11,7.27,7.3,7.37,2.05,5.56,34.55,2.81
601101,20,昊华能源,6.03,10.04,0.55,569955,340409440.0,9.49,6.03,5.51,5.54,5.48,1.48,4.75,10.54,0.92
002286,21,保龄宝,11.3,10.03,1.03,384583,423478112.0,10.03,11.3,10.27,10.27,10.27,2.83,10.42,118.16,2.6
002201,22,九鼎新材,19.31,10.03,1.76,259692,496922128.0,8.43,19.31,17.83,17.97,17.55,1.08,5.59,194.51,9.1
002580,23,圣阳股份,9.0,10.02,0.82,292338,261204958.0,6.11,9.0,8.5,8.54,8.18,0.8,9.35,148.63,2.38
